frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
10,broadcast,player_09,1424,392,1455,461,1439.7681,427.26498,0.8442370891571045,referee
15,broadcast,player_09,1459,394,1491,461,1475.5433,427.88943,0.7985324859619141,referee
20,broadcast,player_09,1490,391,1516,462,1503.2544,427.03555,0.8459051847457886,referee
25,broadcast,player_09,1514,394,1537,462,1526.0005,428.42404,0.8185240626335144,referee
15,broadcast,player_10,956,565,998,660,977.49664,612.6717,0.8855134844779968,player
20,broadcast,player_10,986,557,1039,653,1013.35626,605.40326,0.9079921245574951,player
25,broadcast,player_10,986,548,1062,637,1024.6263,593.0969,0.9226214289665222,player
30,broadcast,player_10,999,538,1063,628,1031.3989,583.313,0.9093250036239624,player
35,broadcast,player_10,999,529,1059,623,1029.6693,576.2349,0.9092903137207031,player
40,broadcast,player_10,1020,527,1078,622,1049.8456,575.2726,0.9185828566551208,player
40,broadcast,player_10,968,543,1013,630,990.9608,586.9175,0.9092163443565369,player
45,broadcast,player_10,1018,539,1060,629,1039.8284,584.58563,0.8696374297142029,player
45,broadcast,player_10,1044,526,1088,593,1066.5559,559.5205,0.8289207220077515,player
50,broadcast,player_10,1059,546,1116,635,1087.8667,591.052,0.8928617835044861,player
50,broadcast,player_10,1046,537,1107,624,1077.366,580.7646,0.8202622532844543,player
55,broadcast,player_10,1103,547,1154,637,1129.2466,592.8301,0.8962622880935669,player
55,broadcast,player_10,1071,547,1114,616,1092.9564,581.9138,0.8659879565238953,player
60,broadcast,player_10,1131,551,1174,640,1153.2036,596.2737,0.903581440448761,player
60,broadcast,player_10,1098,547,1140,618,1119.557,583.0039,0.8877654671669006,player
65,broadcast,player_10,1137,551,1210,643,1174.1393,597.79193,0.8999836444854736,player
70,broadcast,player_10,1159,541,1207,644,1183.3723,592.88873,0.8761098384857178,player
70,broadcast,player_10,1191,540,1217,629,1204.3074,584.6615,0.7781992554664612,player
75,broadcast,player_10,1217,532,1255,637,1236.4064,585.4102,0.8752036094665527,player
